! Windows IME用の辞書
! WIndows IMEの「ユーザ辞書ツール」->「ツール」->「テキストファイルからの読み込み」で登録可能。
! 「!」移行の行はコメントアウト。
! 「!」によって分類がされている。
! 分類区分は以下の通り。
! ・大澤に固有の辞書
! ・🥺系
! ・IT系
! ・会計系
! ・数学系



! ===== ===== =====
! 固有の単語辞書
! ===== ===== =====

おおさわ	大澤	姓
おおさわこうき	大澤公貴	人名
こうき	公貴	名



! ===== ===== =====
! 🥺系
! ===== ===== =====

わら	笑	名詞
わらわら	笑笑	名詞
ぴえん	🥺	名詞



! ===== ===== =====
! IT系
! ===== ===== =====

いちしていし	位置指定子	名詞
かりーか	カリー化	名詞
かんすうがい	関数外	名詞
かんすうない	関数内	名詞
げんみつとうかえんざんし	厳密等価演算子	名詞
こうかいかんすう	高階関数	名詞
さんこうえんざんし	三項演算子	名詞
さんしょうわたし	参照渡し	名詞
さんちりろん	三値理論	名詞
しょきかし	初期化子	名詞
しんぎち	真偽値	名詞
せいきけい	正規形	名詞
たちへんきゃく	多値返却	名詞
たんいつぎょう	単一行	名詞
たんせいどふどうしょうすうてんすうがた	単精度浮動小数点数型	名詞
だいいちせいきけい	第一正規形	名詞
だいごせいきけい	第五正規形	名詞
だいさんせいきけい	第三正規形	名詞
だいにせいきけい	第二正規形	名詞
だいよんせいきけい	第四正規形	名詞
とうかえんざんし	等価演算子	名詞
ねわたし	値渡し	名詞
ばいせいど	倍精度	名詞
ばいせいどふどうしょうすうてんすうがた	倍精度浮動小数点数型	名詞
ひせいきけい	非正規形	名詞
ふくごうぶん	複合文	名詞
やんく	ヤンク	名詞
りょうしていし	量指定子	名詞
わさせきしょう	和差積商	名詞



! ===== ===== =====
! 会計系
! ===== ===== =====

いじょうしそん	異常仕損	名詞
いちねんいないしょうかんしゃさい	一年以内償還社債	名詞
うけとりてがた	受取手形	名詞
うけとりはいとうきん	受取配当金	名詞
うけとりりそく	受取利息	名詞
うちぶはっこう	打歩発行	名詞
うりあげげんか	売上原価	名詞
かかくさい	価格差異	名詞
かがく	価額	名詞
かしだおれひきあてきんくりいれ	貸倒引当金繰入	名詞
かっぷひ	割賦費	名詞
かぶしきこうふひ	株式交付費	名詞
かんせつほう	間接法	名詞
かんりかのうひ	管理可能費	名詞
かんりふのうひ	管理不能費	名詞
がくめんかがく	額面価額	名詞
きかんてきたいおう	期間的対応	名詞
きょうせいひょうかげん	強制評価減	名詞
くりのべりえきじょうよきん	繰延利益剰余金	名詞
けいじょうかがく	計上価額	名詞
げんかけいさんせいど	原価計算制度	名詞
こうぎょうひ	興業費	名詞
さきいれさきだしほう	先入先出法	名詞
さぎょうくず	作業屑	名詞
ざいりょううけいれかかくさい	材料受入価格差異	名詞
しか	市価	名詞
しそん	仕損	名詞
しそんひ	仕損費	名詞
しはらいてがた	支払手形	名詞
しはらいりそく	支払利息	名詞
しゅうえきかんげんかちほう	収益還元価値法	名詞
しょうきゃく	償却	名詞
しょしさん	諸資産	名詞
しょふさい	諸負債	名詞
しょゆうけんいてんがい	所有権移転外	名詞
しんかぶしきもうしこみしょうこきん	新株式申込証拠金	名詞
しんかぶよやくけんもどりいれえき	新株予約権戻入益	名詞
じかけんせつ	自家建設	名詞
じこかぶがい	自己株買い	名詞
じっかほう	実価法	名詞
じっさいげんかけいさんせいど	実際原価計算制度	名詞
じっさほうへんどうよさん	実査法変動予算	名詞
じょうひ	常費	名詞
ぜんぶじゅんしさんちょくにゅうほう	全部純資産直入法	名詞
ぜんめんじかひょうかほう	全面時価評価法	名詞
そうげんか	総原価	名詞
だきあわせかぶしき	抱合株式	名詞
ちょうべんかかく	調弁価格	名詞
ちんりつさい	賃率差異	名詞
ていじかんがい	定時間外	名詞
とうきしゅざんだか	当期首残高	名詞
とうきじゅんそんえき	当期純損益	名詞
とくしゅげんかちょうさ	特殊原価調査	名詞
はいふ	配賦	名詞
はいふさい	配賦差異	名詞
ぱーちぇすほう	パーチェス法	名詞
ひしはいかぶぬしにきぞくするとうきじゅんそんえき	非支配株主に帰属する当期純損益	名詞
ひょうじゅんげんかけいさんせいど	標準原価計算制度	名詞
ひるいかほう	非累加法	名詞
ふか	賦課	名詞
ふずいひよう	付随費用	名詞
ぶぶんじかひょうかほう	部分時価評価法	名詞
ぶぶんじゅんしさんちょくにゅうほう	部分純資産直入法	名詞
へいかはっこう	平価発行	名詞
まえばらいひよう	前払費用	名詞
みつもりげんきんこうにゅうかがく	見積現金購入価額	名詞
みばらいひよう	未払費用	名詞
めいりょうせい	明瞭性	名詞
めいりょうせいのげんそく	明瞭性の原則	名詞
もちぶんぷーりんぐほう	持分プーリング法	名詞
もちぶんほうによるとうしそんえき	持分法による投資損益	名詞
もどりいれ	戻入	名詞
ようしはらいがく	要支払額	名詞
よさんさい	予算差異	名詞
りえきじょうよきんとうきしゅざんだか	利益剰余金当期首残高	名詞
るいかほう	累加法	名詞
れんさんひん	連産品	名詞



! ===== ===== =====
! 数学系
! ===== ===== =====

こうべきのじゅん	降べきの順	名詞
しょうべきのじゅん	昇べきの順	名詞
じすう	次数	名詞
じょうほうこうしき	乗法公式	名詞
たこうしき	多項式	名詞
たんこうしき	単項式	名詞
にこうけいすう	二項係数	名詞
ふくにじしき	複二次式	名詞
べきじょう	冪乗	名詞
りんかんのじゅん	輪環の順	名詞


